index,text
35,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Your product is easy to install, and everyone who has seen the backsplash likes the appearance, the only issue I had was the adhesive backing, it did not adhere to the wall. I cleaned the wall one day prior to installing the Backsplash as per product recommendation, to make sure the wall was dry. Two days after installing tiles the tiles started falling of the wall. I went back to Home Depot and got the recommended adhesive. I have had to reinstall about 75% of the tiles. If the product had suggested using adhesive I would have used it and saved myself a lot of extra work."
36,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:In short, this is an amazing product. It looks great, is very easy to install, and is one of those immediate gratification home improvement products. I cut it using both tin snips where needed for boxing around outlets, and a table saw for long straight cuts. It sticks so well that during installation, once it sticks, it can’t be adjusted or moved, so there’s one chance to get it right. It may be a bit expensive, but compared to buying and installing granite, it’s very reasonably priced, and installation is very quick and easy."
37,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show through.) After the paint dried we peeled off the paper backing and applied liquid nails and then stuck the tile to the painted plywood. Eventually we switched the white outlets out for gray ones. I’m pleased with the finished product. We used a circular saw to cut the tile, which is somewhat fragile and does crumble a bit. The project took a couple hours and looks great!"
38,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Ordered one sample to decide whether or not to use it. It looks and feels great and I'm sure it will be a lot easier and quicker to install than traditional tile. I'd be inclined to use an electric/battery multi-tool to cut it rather than shears, as after a few tile cuts I could see ones hands getting tired/cramped unless scissors being used had a soft grip. Still haven't decided though, due to other decor issues not the product itself."
39,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show ... MoreI found this on clearance at our local Home Depot and it was the right color for our kitchen. First of all, I love the look of this slate. It has a slight blue color to it but mostly looks charcoal. We installed it a little differently. I read the reviews and saw that people had trouble getting the tile to stick. The instructions say to stick it to a clean smooth surface and to use a soapy water solution to activate the adhesive on the back. We have textured walls and I was not about to sand them and have a huge dusty mess when they might not stick anyway, based on reviews. So we installed 1/2 inch plywood on the wall first, and then painted it a dark blue grey color that matched. (The tile does have small gaps between some of the pieces so a lighter background will show through.) After the paint dried we peeled off the paper backing and applied liquid nails and then stuck the tile to the painted plywood. Eventually we switched the white outlets out for gray ones. I’m pleased with the finished product. We used a circular saw to cut the tile, which is somewhat fragile and does crumble a bit. The project took a couple hours and looks great! Less"
40,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Put this up as a backsplash in a new construction kitchen and am quite happy as is wife.This product just does what it says. Not quite a nice as tile but very close. Twenty foot byfourteen inches took about 4 hours. This included 8 outlets/switches which took majority ofeffort.While hand tools may work you'd have to be pretty skilled with them to match the precision ofpower tools. Used a chop saw, table saw, fine tip Sharpie and Dremel. The dremel allows easy precise cuts for outlets etc. If you have sharp (carbide) blades your cuts will be almost as clean as factory ones. CUT SLOWLY. Wear safety goggles and a dust mask. Shop vac hooked up to exhaust ports on power tools is good idea. Primed sheetrock with Killz and only used Locktite PL for small ... MorePut this up as a backsplash in a new construction kitchen and am quite happy as is wife.This product just does what it says. Not quite a nice as tile but very close. Twenty foot byfourteen inches took about 4 hours. This included 8 outlets/switches which took majority ofeffort.While hand tools may work you'd have to be pretty skilled with them to match the precision ofpower tools. Used a chop saw, table saw, fine tip Sharpie and Dremel. The dremel allows easy precise cuts for outlets etc. If you have sharp (carbide) blades your cuts will be almost as clean as factory ones. CUT SLOWLY. Wear safety goggles and a dust mask. Shop vac hooked up to exhaust ports on power tools is good idea. Primed sheetrock with Killz and only used Locktite PL for small pieces.Cool product! Less"
41,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:As you can see there is noticeable difference after using the sealer. The lighter shades are before sealer.
42,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Installed this over existing ceramic tile / fireplace surround. It looks awesome! Very pretty and a much needed update to our old tile. Made a dramatic difference in the look of our fireplace.The tiles do stick really well but a few have come up at edges and/or bowed a bit in the middle (installed about 2 months ago); but they are easy enough to press back down and none have fallen completely off or seem like they will. It's more of a small annoyance than anything. I'm hoping that by staying on top of pressing them back down as soon as I notice it, will help seat them and it will stop. However, in hindsight, I wished I would have gone ahead and used an adhesive as well so I never even had to think about them again (I did clean the existing tile and put a prep/bond ... MoreInstalled this over existing ceramic tile / fireplace surround. It looks awesome! Very pretty and a much needed update to our old tile. Made a dramatic difference in the look of our fireplace.The tiles do stick really well but a few have come up at edges and/or bowed a bit in the middle (installed about 2 months ago); but they are easy enough to press back down and none have fallen completely off or seem like they will. It's more of a small annoyance than anything. I'm hoping that by staying on top of pressing them back down as soon as I notice it, will help seat them and it will stop. However, in hindsight, I wished I would have gone ahead and used an adhesive as well so I never even had to think about them again (I did clean the existing tile and put a prep/bond primer on it before installing).You do have to be very careful when placing them, you can't easily pull them up and reposition them. Less"
43,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This tile was so easy to put on and it sticks really good! Its beautiful and was surprisingly easy to fit and cut. I used a sheet metal sheers but it wasn't one of the big bulky tools. More like a scissors really. It's real stone but cut really thin so it's lightweight but looks great. I'm impressed by how easy it was to put up and even though I used it in my RV (because its so light weight and flexible so the grout doesn't crack like heavy ceramic tile might when being bounced around on the road) it could easily be used in a house successfully. You can't tell its not expensive ceramic tile or that it wasn't put up by a professional. First time I've ever used something like this and it turned out pretty good (imho).
44,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Really impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to complete the ... MoreReally impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to complete the backsplash in about 2.5 to 3 hours with no major mistakes. Cutting was fairly simple using the snips; I had to go around 3 outlets. My project was 18 sq ft to give you an idea of the scope.All in all, this is a cool product if you're willing to take the effort to do it methodically and carefully. You'll be pleased with the results. Less"
45,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I absolutely LOVE these tiles! They add texture & dimension to walls & look great! The feel of stone is wonderful. They are unique and not like what ""everyone else"" has. Even within your own home, you can change the look by how and where you place tiles. Great for an accent wall or in combination with a mantle, around a wall TV or with any other feature you want to have stand out!"
46,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I love this product. It's easy to cut and install with the large scissor type shears.It's amazing to be able to upgrade a space in just a weekend. I painted the wall with Behr premium smokey mountain matte prior to placement in case I had small gaps due to the natural stone texture and any small gaps I may have caused due to not being a pro. They would be less obvious.My space upgrades are beautiful. I used it above my kitchen cabinets and to and interest to my entry foyer
47,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Really impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to ... MoreReally impressed by the end result of this product. I was thinking of getting ceramic or porcelain tile for my kitchen backsplash, but that would involve hiring a tile person, which I knew would drive up the cost. I stumbled upon this product in the store, and saw that ""Medley Slate"" was pretty much an exact match for my color scheme. So I gave it a shot.I bought some utility snips for cutting, but that was about the only other purchase I had to make to use this product. I did not use any other adhesive besides what came already on the tiles.I'm an OCD engineer, so of course I laid out the whole project before starting. Reading other reviews, I didn't want to mess it up. The glue on these things is unforgiving to say the least. But no worries, I was able to complete the backsplash in about 2.5 to 3 hours with no major mistakes. Cutting was fairly simple using the snips; I had to go around 3 outlets. My project was 18 sq ft to give you an idea of the scope.All in all, this is a cool product if you're willing to take the effort to do it methodically and carefully. You'll be pleased with the results. Less"
48,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:It’s not cheap, but it is easy enough to install if you follow directions and use the proper tools it calls for when cutting. Basically all you need is a speed square, tin snips and a sharp chisel for cutting out outlet boxes. Overall very pleased with how it turned out. But a few extras. It’s easy to mess up if yours rushing. It helps to have a few spare pieces just in case. I used these to do a side slash for our island. Still waiting on countertops to be installed but we are going to do a black slate backslash once the countertops are installed and these panels on the 2 plain sides of the island are going to compliment it perfectly."
49,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:It’s not cheap, but it is easy enough to install if you follow directions and use the proper tools it calls for when cutting. Basically all you need is a speed square, tin snips and a sharp chisel for cutting out outlet boxes. Overall very pleased with how it turned out. But a few extras. It’s easy to mess up if yours rushing. It helps to have a few spare pieces just in case. I used these to do a side slash for our island. Still waiting on countertops to be installed but we are going to do a black slate backslash once the countertops are installed and these panels on the 2 plain sides of the island are going to compliment it perfectly."
50,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This looks amazing on the wall! It's a gorgeous mix of quartz colors. The adhesive on the back is very strong...I don't see this ever falling off the wall. I liked how easy it was to cut with tin snips, so no saw was needed, and that a file was effective when just the slightest adjustment was needed for the next piece to fit."
51,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I love this product. It's easy to cut and install with the large scissor type shears.It's amazing to be able to upgrade a space in just a weekend. I painted the wall with Behr premium smokey mountain matte prior to placement in case I had small gaps due to the natural stone texture and any small gaps I may have caused due to not being a pro. They would be less obvious.My space upgrades are beautiful. I used it above my kitchen cabinets and to and interest to my entry foyer
52,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:I absolutely LOVE these tiles! They add texture & dimension to walls & look great! The feel of stone is wonderful. They are unique and not like what ""everyone else"" has. Even within your own home, you can change the look by how and where you place tiles. Great for an accent wall or in combination with a mantle, around a wall TV or with any other feature you want to have stand out!"
53,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:Works very well a lot better than the metal and easier to install.Easier to cut and if u mess up can fill it in and there's hardly any waste.Ours came out beautiful.
54,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This is a great product. I put it around the fireplace over the existing tile and it stuck great. It looks good. I have used the fireplace (gas) a lot this spring just to see if the heat would impact it and it hasn’t. Very happy with this purchase and it was way easier than putting up new tile.
55,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:It’s not cheap, but it is easy enough to install if you follow directions and use the proper tools it calls for when cutting. Basically all you need is a speed square, tin snips and a sharp chisel for cutting out outlet boxes. Overall very pleased with how it turned out. But a few extras. It’s easy to mess up if yours rushing. It helps to have a few spare pieces just in case. I used these to do a side slash for our island. Still waiting on countertops to be installed but we are going to do a black slate backslash once the countertops are installed and these panels on the 2 plain sides of the island are going to compliment it perfectly."
56,"Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:This looks amazing on the wall! It's a gorgeous mix of quartz colors. The adhesive on the back is very strong...I don't see this ever falling off the wall. I liked how easy it was to cut with tin snips, so no saw was needed, and that a file was effective when just the slightest adjustment was needed for the next piece to fit."
57,Aspect 23.6 in. x 5.9 in. Weathered Quartz Peel and Stick Stone Decorative Tile Backsplash Review:The product created the opportunity to create a special effect at a reasonable price. I can't lay real tile. This product can be cut with a sharp scissors for a perfect appearance without a professional.
58,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Overall the stand function is okay The problem exists in the vertical extension bar. While the bike is in work position with a bike mounted and you apply pressure as in turning a wrench, the vertical height adjustment starts slipping and the bike slide towards the floor. I can't seem to get it to lock in place for work that requires exertion in a downward pressure. While the bike won't fall it is disconcerting to have this slip occur."
59,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Very solid and well made stand. Super happy with purchase. I'm 6'3"" tall and this stand adjusts higher than I would ever want it to be while still being rock solid. Substantial but still collapses to easily stored size. Haven't used long but materials appear high quality, think wall tubing etc. Tripod legs much better than most stands with just two legs. If I had to complain about something, the frame clamping jaw has to be manually unscrewed a little bit once quick release style lever is flipped to remove frame. I'd say a bargain at this price."
60,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:This is an awesome bike stand for so many reasons!!! It is extremely sturdy. Extremely quick and easy to set up and adjust. It packs down really well. It looks awesome, having a really nice subtle grey/khaki kind of finish which is unique to the opposition like park tools, feedback etc with their lary colours. Then there's the price. Half that of most other comparable stands... Seriously, if you want a decent stand that doesn't break the bank, look no further. Big shout to outdoorgearlab for their review as it's how I found this thing, and again when I searched for the item I was pleasantly unsurprised to see it pop up in Australia at cycling deal.com.au...I say unsurprised because so far these guys are incredible! Great price and delivery and when looking for items ... MoreThis is an awesome bike stand for so many reasons!!! It is extremely sturdy. Extremely quick and easy to set up and adjust. It packs down really well. It looks awesome, having a really nice subtle grey/khaki kind of finish which is unique to the opposition like park tools, feedback etc with their lary colours. Then there's the price. Half that of most other comparable stands... Seriously, if you want a decent stand that doesn't break the bank, look no further. Big shout to outdoorgearlab for their review as it's how I found this thing, and again when I searched for the item I was pleasantly unsurprised to see it pop up in Australia at cycling deal.com.au...I say unsurprised because so far these guys are incredible! Great price and delivery and when looking for items that are less common to find in Oz, I keep getting them there...Like my awesome Hayes Dominion A4 Brakes and rotors which I also highly recommend along with again the price, service and delivery from cyclingdeal... Less"
61,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Purchased 2 years ago, this stand is as good now as back when I bought it. Super happy with it, very sturdy and well built, infinite adjustment angles and plenty of working height. I have an MTB, I service my bike regularly, clean, oil, swap out cassettes, change over chains, and this stand delivers 100%. The tool tray is handy too!"
62,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:The Bike Hand YC-100BH repair stand is a top quality repair stand that can hold its own against stands two and three times the price. It is well finished and uses quality materials.The stand is very stable, quick to set up and folds up easily into a compact size that is easy to store when not required.The only criticism is the cam lock on the jaw which requires adjusting each time which is typical of this design across brands and a lack of a front wheel stay. (Easily fixed with an elastic strap)"
63,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Really happy with this stand, pretty solid to work with and holds my heavy bike securely. The clamp is easily adjustable, firm, yet doesn't scratch the frame. Can clamp in any orientation to hold either the seat post, top tube etc at whatever angle you want. I haven't ever used more expensive stands so I can't say how this would compare to those, but this one does what it's supposed to do and does it well, and feels like it will last a long time."
64,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:This stand would suit all but the hardest critic. I have been riding for 47 years, I ride road and XC mountain. I'm a tool maker by trade and appreciate good design. I feel this product is well designed, well made and a very good product for the price. For twice the price you will find a stand that is more compact with less plastic though the plastic parts on this stand are quite substantial and I expect they will last well. I have found this stand to be quick and easy to set up for use, sturdy and stable. When folded it takes up about the same space as a camp chair but is so so much more useful. I feel this stand would suit almost any rider, it should be the starting point for all bike maintenance. The stand was delivered fast and suitably packed. I look forward to ... MoreThis stand would suit all but the hardest critic. I have been riding for 47 years, I ride road and XC mountain. I'm a tool maker by trade and appreciate good design. I feel this product is well designed, well made and a very good product for the price. For twice the price you will find a stand that is more compact with less plastic though the plastic parts on this stand are quite substantial and I expect they will last well. I have found this stand to be quick and easy to set up for use, sturdy and stable. When folded it takes up about the same space as a camp chair but is so so much more useful. I feel this stand would suit almost any rider, it should be the starting point for all bike maintenance. The stand was delivered fast and suitably packed. I look forward to making future purchases from this seller. Less"
65,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:This bike stand is bombproof. It's incredibly sturdy and well constructed. The movement points all work with quick release handles, and slide effortlessly to extend or collapse. It feels like you could hang your car off it not just a bike, it's so sturdy. Tool tray is a nice touch too! Makes it easy to work close to the bike. I was in two minds about spending this much money, and though that a cheaper stand would do the trick, and maybe some would. (I didn't feel like I could justify a ParkTool stand... they are just overpriced if you ask me) But I'm so glad that I went to this price point, and specifically with this product. I'd absolutely recommend this stand to anyone. It seems like the perfect balance between price and functionality."
66,BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Saw lots of these sort of products for cheaper prices but went with this slightly more expensive one from an Aussie supplier. I am glad I did. Delivery was quick and the product is light and robust. Great value.
67,BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:Perfect for carbon frames. I build stuff for myself and friends and this thing is PERFECT!
68,"BIKEHAND Bicycle Repair Work Stand For Mountain Road Bike Home Team Maintenance Review:This is a high quality bike stand, that does not look cheap, and that is well made and strong. It comes assembled, and all that is required is to fit the tool holder, which is as simple as screwing on a few nuts by hand. For the price its excellent value. So if your looking for a bike stand then this is the one to get."
69,"Baby Food Apple + Chicken Review:Check your dates! My baby eats this food all the time with no issues so this is not about the quality of the food itself, but about the lack of attention from Walmart to the quality of food on their shelves.. I placed a pick up order and when I got home to put my items away I discovered this one was out of date (expired in March 2020...IT'S NOVEMBER 2020)! Luckily I always check my dates on baby food because my husband has caught some expired food on the shelves at Walmart. Needless to say, the return has already been started!"
70,Baby Food Apple + Chicken Review:I actually use this to make homemade frosty paws doggie ice cream. Much easier than waiting for banana's to ripen and get them mushed up. This works great.
71,"Baby Food Apple + Chicken Review:Honestly when my kids were little, they both loved it. I had to taste this of course"
72,"Baby Food Apple + Chicken Review:These pureed sweet potatoes are delicious! They taste fresh and they are not seasoned. The consistency is smooth and they are not only perfect and safe for young eaters, I use them in baking. Additionally, I have a sensitive stomach and suffer from several food allergies so I keep these in my pantry for both travel and as shelf stable foods to have on hand if nothing safe is available."
73,Baby Food Apple + Chicken Review:I love the Gerber 2nd foods! They are the perfect amount for my 6mo old. The only thing I don't like is the fact there is no lid for when she doesn't finish it all.
74,Baby Food Apple + Chicken Review:My son loves this flavor!! Its has lots of good stuff in it and so convenient. I used make him homemade oatmeal but these are perfect to have on hand for those days when you need them!